idx	input_file	strategy	time	tflops	tmin	tmax	tdif	tavg	compiler	flags	n_cols	n_rows	period	max_iter	threshold
0	areas_100x150.pgm	seq	0.000964024	1882733000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	1e-05
1	areas_100x150.pgm	simd	0.000935949	1939208000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	1e-05
2	areas_100x150.pgm	auto	0.002603823	697052000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	1e-05
3	areas_100x150.pgm	seq	0.002438744	739315000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	1e-05
4	areas_100x150.pgm	simd	0.000684698	2633278000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	1e-05
5	areas_100x150.pgm	auto	0.002070999	870594300.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	1e-05
6	areas_100x150.pgm	seq	0.001932725	932103600.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	1e-05
7	areas_100x150.pgm	simd	0.000584415	3082570000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	1e-05
8	areas_100x150.pgm	auto	0.001735857	1037816000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	1e-05
9	areas_100x150.pgm	seq	0.001613522	1124868000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.0001
10	areas_100x150.pgm	simd	0.000587793	3087822000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.0001
11	areas_100x150.pgm	auto	0.001731647	1048135000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.0001
12	areas_100x150.pgm	seq	0.001747957	1031490000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.0001
13	areas_100x150.pgm	simd	0.000515315	3498831000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.0001
14	areas_100x150.pgm	auto	0.001597088	1128930000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.0001
15	areas_100x150.pgm	seq	0.003085876	583788800.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.0001
16	areas_100x150.pgm	simd	0.00087385	2061567000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.0001
17	areas_100x150.pgm	auto	0.002594775	694279900.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.0001
18	areas_100x150.pgm	seq	0.002322176	781594500.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.001
19	areas_100x150.pgm	simd	0.000685212	2648815000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.001
20	areas_100x150.pgm	auto	0.001985655	914056100.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.001
21	areas_100x150.pgm	seq	0.001884143	956933700.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.001
22	areas_100x150.pgm	simd	0.000584281	3085844000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.001
23	areas_100x150.pgm	auto	0.001768285	1019632000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.001
24	areas_100x150.pgm	seq	0.001749608	1029659000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.001
25	areas_100x150.pgm	simd	0.000565679	3184668000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.001
26	areas_100x150.pgm	auto	0.0017342	1038808000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.001
27	areas_100x150.pgm	seq	0.001722266	1053844000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.01
28	areas_100x150.pgm	simd	0.000547374	3315832000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.01
29	areas_100x150.pgm	auto	0.001735679	1045700000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.01
30	areas_100x150.pgm	seq	0.002999268	601146700.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.01
31	areas_100x150.pgm	simd	0.000766383	2352610000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.01
32	areas_100x150.pgm	auto	0.002389293	754616500.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.01
33	areas_100x150.pgm	seq	0.002176029	827884200.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.01
34	areas_100x150.pgm	simd	0.000595008	3027690000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.01
35	areas_100x150.pgm	auto	0.00176021	1023457000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.01
36	areas_100x150.pgm	seq	0.001742965	1041329000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.1
37	areas_100x150.pgm	simd	0.000554822	3271319000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.1
38	areas_100x150.pgm	auto	0.00164899	1100674000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.1
39	areas_100x150.pgm	seq	0.001660644	1085723000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.1
40	areas_100x150.pgm	simd	0.000458547	3931985000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.1
41	areas_100x150.pgm	auto	0.001485243	1213943000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.1
42	areas_100x150.pgm	seq	0.001624925	1108667000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.1
43	areas_100x150.pgm	simd	0.000489509	3680218000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.1
44	areas_100x150.pgm	auto	0.001739597	1035585000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.1
45	areas_100x150.pgm	seq	0.003097702	585918200.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	1.0
46	areas_100x150.pgm	simd	0.000868255	2090400000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	1.0
47	areas_100x150.pgm	auto	0.002382355	761851200.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	1.0
48	areas_100x150.pgm	seq	0.002606587	691709100.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	1.0
49	areas_100x150.pgm	simd	0.000606221	2974163000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	1.0
50	areas_100x150.pgm	auto	0.001925066	936591300.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	1.0
